Cycles; st-matmul; vvadd; multiply; memcpy; qsort; memBW; spmv; mergesort; towers; rsort; median; memlatency; st-vvadd
1; 1537428; 913689; 1140265; 1342791; 2860498; 17629923; 1428446; 2334357; 878993; 3439033; 993293; 17245199; 1417275
2; 1459831; 852540; 1063191; 1263135; 2699705; 16941690; 1351265; 2189437; 814099; 3255966; 928790; 16633254; 1331673
3; 1428562; 821130; 1030771; 1229687; 2609998; 16701944; 1326441; 2139875; 781364; 3224674; 897286; 16606859; 1299689
4; 1399952; 794134; 1002192; 1201458; 2492047; 16671083; 1289044; 2110468; 753752; 3196448; 867367; 16569566; 1272764
